sleep_hours,sleep_quality,water_liters,steps_count,activity_type,calories,protein,carbs,fat,habit_completion_ratio,mood
7.4,2,3.1,9901,0,3195,43.4,243.1,87.5,0.85,Relaxed
7.4,1,3.8,10403,1,2329,122.4,322.2,62.8,0.87,Relaxed
7.8,0,2.7,10343,1,3125,64.8,201.7,92.1,0.93,Relaxed
8.0,0,3.8,11961,3,2070,111.2,300.3,40.7,0.93,Relaxed
7.5,2,3.7,9251,2,2667,138.5,362.9,76.7,0.91,Relaxed
7.4,1,3.0,10132,0,1815,96.3,315.6,107.5,0.95,Relaxed
7.7,2,3.5,10494,0,2786,47.0,397.1,91.2,0.78,Relaxed
8.7,2,2.9,10912,2,2185,56.5,341.4,112.0,0.99,Relaxed
8.6,1,3.7,10457,1,1852,112.1,399.4,60.8,0.82,Relaxed
7.8,2,3.1,8144,1,2502,119.9,205.6,82.8,0.87,Relaxed
8.6,1,3.9,10751,1,3146,136.4,195.3,47.8,0.81,Relaxed
7.3,0,2.9,11310,2,3140,49.8,238.8,99.5,0.87,Relaxed
7.6,2,3.7,9357,2,2749,133.6,267.6,109.3,0.81,Relaxed
8.2,0,3.9,8291,0,3194,82.0,224.6,44.3,0.84,Relaxed
8.7,2,2.7,8820,3,2093,74.8,328.9,102.3,0.8,Relaxed
8.0,0,3.4,8724,0,2725,70.1,340.3,53.5,0.79,Relaxed
8.5,0,3.2,11127,3,3097,87.2,257.3,78.2,0.93,Relaxed
7.0,0,3.3,10992,2,2887,61.0,319.2,90.1,0.81,Relaxed
7.5,0,3.5,9410,3,2830,104.8,191.8,105.9,0.79,Relaxed
7.6,2,2.9,10981,2,2688,137.7,398.9,67.4,0.86,Relaxed
8.8,1,3.0,8771,0,2267,64.7,396.2,56.9,0.75,Relaxed
7.0,2,3.3,8504,0,2568,136.4,213.9,82.8,0.81,Relaxed
7.1,0,4.0,10711,0,2037,85.8,245.1,83.8,0.73,Relaxed
7.9,0,2.7,10847,2,2661,112.8,315.6,61.6,0.91,Relaxed
8.2,2,2.7,11402,0,2378,52.5,176.6,55.9,0.97,Relaxed
7.4,1,2.9,10142,3,2404,57.6,287.0,112.8,0.99,Relaxed
8.4,2,3.2,8960,0,2026,131.9,317.3,51.9,0.7,Relaxed
7.2,1,3.3,10963,1,2735,148.8,224.0,77.1,0.92,Relaxed
7.2,1,2.8,8161,2,2672,121.2,173.7,100.7,0.96,Relaxed
7.1,1,3.8,10717,2,2696,145.1,217.1,98.6,0.89,Relaxed
7.7,1,3.0,8466,2,2589,115.9,269.6,73.7,0.82,Relaxed
8.8,0,2.8,8542,1,2012,85.8,297.7,104.2,0.91,Relaxed
8.4,2,2.8,9555,0,2067,93.1,272.0,111.0,0.93,Relaxed
7.9,2,2.6,10682,1,3171,136.0,279.8,95.1,0.79,Relaxed
8.2,1,3.1,10976,3,2104,132.3,289.6,119.0,0.77,Relaxed
7.1,1,3.5,8642,3,2138,48.2,272.9,59.3,0.85,Relaxed
8.9,1,2.6,8912,3,2281,48.7,261.0,85.8,0.87,Relaxed
7.2,1,3.2,9294,0,2010,84.4,159.0,83.9,0.74,Relaxed
8.7,1,3.7,11945,1,3140,113.9,387.6,69.1,0.89,Relaxed
7.1,2,2.8,9861,3,3145,80.0,263.1,47.8,0.8,Relaxed
8.3,1,2.5,9454,2,2017,45.0,191.0,51.2,0.95,Relaxed
8.4,0,3.6,8438,1,2047,142.3,248.2,76.6,0.78,Relaxed
8.6,0,3.6,8441,0,2722,90.3,297.3,80.3,0.93,Relaxed
6.9,1,1.5,7015,3,2841,125.9,377.5,95.3,0.41,Neutral
5.8,2,2.3,4424,2,2832,137.0,254.7,88.7,0.52,Neutral
6.5,1,1.7,5629,3,2073,55.2,300.6,110.9,0.69,Neutral
6.3,2,2.3,6243,1,2211,63.1,328.6,94.9,0.66,Neutral
6.9,0,1.6,6909,2,2036,123.7,290.6,86.6,0.6,Neutral
6.9,2,2.2,6761,2,2665,128.9,280.7,42.0,0.62,Neutral
5.7,0,2.2,4818,2,3199,67.6,359.8,95.2,0.48,Neutral
5.9,1,2.3,4132,0,3061,135.5,334.9,109.2,0.51,Neutral
6.6,2,2.1,4973,2,3160,45.2,245.4,73.3,0.55,Neutral
6.7,0,2.2,7956,2,2215,108.3,345.2,109.6,0.57,Neutral
6.7,1,2.4,6886,1,2196,72.4,194.4,94.6,0.61,Neutral
5.8,0,1.7,6104,3,2371,101.2,182.5,86.7,0.44,Neutral
5.9,0,1.8,6906,1,2460,105.7,343.4,90.0,0.68,Neutral
6.8,1,1.8,7235,0,2450,97.8,389.2,81.6,0.57,Neutral
6.7,0,1.7,6224,2,2253,137.2,315.8,66.5,0.56,Neutral
5.9,2,2.5,6532,0,2034,113.6,261.4,112.4,0.56,Neutral
6.4,1,2.1,7927,3,2032,82.4,285.1,62.6,0.41,Neutral
6.9,2,2.3,5535,3,2796,44.8,374.6,55.4,0.55,Neutral
6.3,2,2.4,4685,0,3083,47.2,317.6,101.9,0.69,Neutral
6.8,2,1.9,4425,3,3124,129.8,168.0,94.9,0.46,Neutral
5.5,0,2.2,4155,1,2315,101.4,293.7,58.2,0.43,Neutral
5.9,1,1.9,6581,0,2597,114.1,283.7,91.3,0.52,Neutral
6.4,0,2.3,6398,2,2829,51.7,346.7,64.1,0.41,Neutral
5.6,2,2.3,5792,0,2770,57.2,205.0,99.7,0.51,Neutral
6.7,0,2.3,5208,2,3187,137.6,391.3,109.4,0.69,Neutral
6.5,2,2.5,4045,1,2052,44.6,293.2,71.5,0.57,Neutral
6.3,2,1.6,4860,2,2233,85.4,311.5,81.0,0.62,Neutral
5.7,0,1.7,7419,1,3174,128.0,363.1,108.1,0.48,Neutral
6.9,0,2.5,5889,2,3175,47.4,174.6,98.0,0.59,Neutral
6.2,0,1.8,4525,0,2383,108.1,375.0,65.4,0.6,Neutral
6.2,0,2.1,5252,2,2447,145.5,192.2,65.1,0.61,Neutral
6.7,1,2.2,6624,1,3191,120.6,369.5,77.0,0.53,Neutral
6.0,2,1.8,6259,0,2374,134.5,185.0,83.1,0.43,Neutral
5.9,0,2.4,4313,0,2991,103.7,342.3,57.0,0.62,Neutral
5.6,1,1.8,7661,1,2549,83.2,372.9,87.2,0.7,Neutral
6.8,1,1.6,6052,2,2828,41.2,209.7,117.1,0.55,Neutral
7.0,1,2.2,7101,1,2166,102.3,291.5,109.8,0.55,Neutral
5.7,0,2.2,7846,3,2274,46.9,242.4,43.4,0.51,Neutral
5.8,1,2.4,5479,0,1881,147.9,231.0,96.3,0.52,Neutral
6.3,2,2.3,7419,1,2571,111.9,241.3,92.3,0.62,Neutral
6.8,0,2.0,5541,3,2522,129.9,236.3,103.4,0.69,Neutral
6.8,0,1.5,7612,1,1957,96.6,220.2,52.0,0.44,Neutral
5.7,0,2.1,7346,3,2476,119.2,270.4,78.3,0.44,Neutral
5.8,0,1.7,7413,0,2061,103.1,190.3,90.4,0.52,Neutral
5.6,0,2.1,4229,3,3027,146.6,309.4,110.3,0.45,Neutral
6.6,1,2.3,7879,3,2786,58.8,357.6,88.1,0.43,Neutral
6.7,2,2.3,4744,2,2143,119.7,235.7,76.3,0.59,Neutral
6.4,0,1.7,5578,1,2870,134.6,276.1,73.6,0.44,Neutral
5.7,2,1.6,5949,0,2888,95.4,179.4,78.6,0.67,Neutral
5.7,2,2.1,7389,3,2869,86.3,368.7,95.8,0.4,Neutral
6.1,1,2.4,5974,2,3006,128.5,377.0,107.0,0.64,Neutral
6.4,0,1.9,5042,0,2380,105.8,285.9,60.6,0.54,Neutral
5.5,0,2.2,4029,0,2568,112.0,321.9,65.3,0.57,Neutral
6.0,1,1.7,6668,3,2956,80.2,218.9,94.4,0.58,Neutral
6.6,0,1.9,7210,2,2945,101.0,213.4,64.5,0.57,Neutral
6.0,2,2.2,7013,0,2270,89.1,324.8,52.9,0.44,Neutral
5.8,2,1.9,5386,0,2129,82.8,309.0,104.3,0.64,Neutral
6.7,0,2.0,6458,2,2254,80.8,302.3,98.0,0.53,Neutral
6.9,2,1.9,6687,0,2158,110.4,259.7,56.1,0.56,Neutral
6.5,2,2.3,5171,1,3059,58.6,159.0,59.1,0.46,Neutral
5.5,1,1.7,5130,3,2630,104.5,279.4,99.0,0.63,Neutral
5.6,2,1.6,5165,2,2511,146.0,219.1,88.5,0.62,Neutral
5.8,0,2.4,6354,3,2836,51.7,168.1,63.5,0.4,Neutral
6.9,2,2.3,7918,2,2706,146.3,290.8,101.6,0.48,Neutral
6.6,2,2.5,5879,0,2787,52.8,166.9,90.7,0.6,Neutral
7.0,1,2.2,4941,2,2857,98.9,325.2,61.1,0.64,Neutral
5.9,0,1.9,7067,1,2775,74.5,204.6,85.9,0.65,Neutral
5.8,1,2.2,7810,1,2280,120.9,368.2,56.5,0.67,Neutral
5.8,0,1.7,6533,0,1960,114.3,315.9,89.1,0.51,Neutral
6.6,1,2.0,4173,2,2808,138.8,370.2,86.0,0.65,Neutral
5.9,1,1.7,7130,3,2254,122.5,182.1,82.1,0.67,Neutral
6.1,1,2.4,4133,1,2736,147.4,324.6,76.8,0.55,Neutral
6.5,0,1.5,4863,2,2540,107.4,214.9,83.9,0.51,Neutral
5.9,0,2.0,6511,3,2668,63.2,325.2,69.8,0.5,Neutral
6.8,2,1.8,4736,1,2004,119.3,351.0,84.4,0.57,Neutral
6.8,0,1.7,7276,3,1819,59.4,274.9,119.6,0.69,Neutral
6.8,1,2.0,6951,2,2313,101.8,292.0,71.9,0.49,Neutral
6.5,2,1.6,7333,0,2721,121.9,214.9,68.8,0.48,Neutral
6.3,0,2.3,5409,2,3191,145.9,199.7,86.1,0.41,Neutral
6.5,1,1.7,7196,3,2715,137.9,245.3,62.9,0.49,Neutral
6.4,1,1.6,4686,3,3092,107.4,251.2,112.6,0.59,Neutral
5.6,1,1.8,5284,2,3039,110.9,217.8,75.6,0.5,Neutral
6.8,1,1.9,6404,3,2142,60.2,155.8,98.2,0.56,Neutral
6.5,0,2.4,6870,1,2613,51.3,165.9,110.3,0.62,Neutral
6.3,0,1.5,5626,0,2337,108.0,171.1,114.5,0.56,Neutral
6.1,2,1.7,7021,1,2068,97.9,192.7,42.8,0.49,Neutral
6.0,2,2.4,7539,2,2923,88.9,392.4,95.8,0.54,Neutral
5.8,2,2.1,6584,3,2872,110.4,283.4,112.7,0.62,Neutral
6.2,1,1.7,4366,3,2332,57.1,152.6,81.9,0.53,Neutral
6.6,0,1.6,5174,3,2777,73.0,341.5,103.8,0.54,Neutral
6.4,1,2.3,6245,3,2608,67.5,328.7,91.7,0.51,Neutral
6.7,0,1.7,4324,2,2383,111.3,283.0,61.5,0.53,Neutral
5.8,2,1.6,4559,3,3065,89.8,325.1,79.4,0.49,Neutral
6.0,0,1.7,7971,0,2377,69.6,328.8,98.2,0.56,Neutral
5.8,1,1.7,6021,2,2820,149.8,265.9,103.3,0.47,Neutral
6.0,1,2.3,7897,3,1946,99.8,195.4,111.7,0.44,Neutral
5.9,2,1.9,4051,1,2588,124.8,260.7,99.0,0.44,Neutral
5.6,2,2.0,7157,1,2768,82.8,390.3,114.9,0.43,Neutral
5.7,2,2.2,7050,0,2318,92.9,224.7,68.8,0.68,Neutral
5.6,2,2.2,7986,3,2464,41.7,348.6,86.8,0.43,Neutral
6.1,2,1.7,7968,3,3021,57.0,342.7,59.9,0.41,Neutral
6.2,2,2.2,5386,0,1922,79.1,188.5,82.9,0.68,Neutral
5.7,2,2.0,5297,2,2698,120.7,155.3,70.2,0.69,Neutral
6.6,1,1.8,4161,2,2911,116.7,197.4,54.9,0.55,Neutral
6.0,2,2.2,5127,1,1941,98.4,262.3,105.6,0.66,Neutral
6.3,1,2.0,7178,1,1838,108.2,241.0,89.6,0.59,Neutral
6.0,1,1.6,7961,1,2873,115.2,341.4,52.3,0.56,Neutral
5.9,2,1.9,5319,0,1889,131.9,182.4,109.9,0.43,Neutral
5.8,2,2.0,4404,3,3147,93.9,306.0,87.2,0.41,Neutral
5.6,0,1.7,6940,3,1963,91.5,309.7,68.9,0.42,Neutral
6.6,2,2.4,7367,0,3063,69.2,160.2,45.6,0.51,Neutral
6.0,0,2.4,7934,1,2888,82.4,198.3,92.6,0.56,Neutral
6.4,1,2.4,6287,0,3107,103.4,318.6,96.2,0.62,Neutral
6.1,1,1.6,7245,2,3146,57.4,399.6,75.4,0.45,Neutral
6.0,1,1.8,5329,3,2462,106.9,290.8,57.1,0.65,Neutral
6.6,1,2.4,5040,3,2613,40.0,158.7,62.8,0.51,Neutral
5.5,1,1.6,7646,1,2239,134.1,155.4,105.8,0.49,Neutral
6.5,2,1.8,6267,1,1993,44.2,238.9,51.1,0.55,Neutral
6.1,1,2.1,4954,0,2968,84.0,379.5,98.7,0.48,Neutral
6.6,2,2.3,4708,0,3019,110.6,159.3,104.7,0.55,Neutral
6.1,1,2.3,7775,3,2653,142.3,180.1,101.6,0.63,Neutral
6.6,2,2.3,7803,3,1910,73.5,160.3,83.2,0.4,Neutral
5.7,2,2.0,4904,3,2712,122.8,293.8,47.2,0.45,Neutral
6.1,0,2.3,4606,3,2970,122.0,287.0,61.0,0.44,Neutral
6.1,0,1.9,6858,3,2945,61.8,248.8,85.7,0.44,Neutral
6.3,0,2.5,6147,2,2680,75.6,381.0,47.2,0.47,Neutral
6.5,1,1.9,5426,0,2424,58.6,237.4,105.7,0.46,Neutral
6.7,0,2.1,5804,1,2565,57.2,332.1,46.9,0.41,Neutral
6.6,1,1.7,6543,0,2503,116.3,177.8,76.0,0.68,Neutral
5.5,2,1.7,6203,2,2923,93.1,332.5,51.3,0.46,Neutral
6.5,2,1.5,6387,0,2323,58.7,221.0,103.1,0.67,Neutral
6.4,0,1.6,6681,3,3152,69.8,363.0,92.8,0.68,Neutral
6.8,1,1.5,7552,1,2579,95.9,327.4,112.3,0.67,Neutral
6.2,2,2.1,4360,3,2948,141.9,155.4,59.8,0.46,Neutral
6.3,0,1.8,5611,2,2520,79.1,225.6,119.7,0.62,Neutral
7.0,1,1.8,4253,0,2936,144.4,206.4,67.3,0.59,Neutral
6.1,2,1.6,6989,1,2654,66.4,188.2,117.6,0.51,Neutral
6.9,2,1.8,6220,1,2989,99.5,350.0,109.0,0.44,Neutral
6.0,1,2.2,6145,1,3143,142.6,379.3,65.4,0.67,Neutral
6.3,0,2.4,4484,0,2452,136.8,253.5,72.9,0.46,Neutral
6.2,2,2.4,7662,2,2111,125.7,176.7,54.8,0.59,Neutral
6.6,2,2.1,5093,1,3021,65.5,321.8,68.7,0.58,Neutral
6.5,1,2.0,6057,2,2176,133.7,272.9,51.0,0.65,Neutral
5.8,1,1.5,7131,3,2255,121.7,397.1,100.6,0.69,Neutral
5.6,1,2.4,5799,2,2737,137.6,256.9,102.1,0.66,Neutral
6.4,2,2.3,6949,0,2866,52.0,264.2,110.2,0.49,Neutral
6.8,2,1.7,6203,0,2942,82.6,341.3,117.0,0.52,Neutral
5.8,1,1.9,7622,3,2140,86.5,303.3,44.4,0.49,Neutral
6.3,0,1.6,7399,0,2168,125.7,384.5,95.7,0.59,Neutral
5.7,1,1.9,5846,1,2731,49.9,231.0,91.9,0.41,Neutral
6.6,0,1.7,7003,3,3098,79.9,281.0,70.7,0.44,Neutral
6.7,2,2.0,7890,3,1889,124.5,378.1,85.2,0.45,Neutral
6.5,2,1.7,7558,0,2659,73.9,332.5,116.9,0.44,Neutral
5.9,0,1.7,7680,0,3075,124.2,153.1,79.8,0.44,Neutral
6.2,0,2.3,6490,1,3005,112.5,263.4,75.4,0.66,Neutral
6.4,2,1.5,7613,1,1900,60.3,163.8,67.9,0.56,Neutral
5.7,1,1.5,6367,2,1979,45.4,254.2,54.3,0.65,Neutral
6.5,2,2.1,6832,1,2732,122.4,240.0,42.9,0.61,Neutral
6.7,0,1.8,7676,3,2927,47.1,267.7,49.8,0.51,Neutral
6.8,2,1.8,5694,1,3053,46.4,292.8,118.3,0.56,Neutral
6.3,2,1.6,6965,2,2674,107.0,229.1,82.0,0.61,Neutral
7.0,1,1.9,4531,3,2808,128.9,370.9,58.6,0.58,Neutral
5.9,2,1.7,4484,0,2224,128.0,399.7,73.1,0.41,Neutral
6.0,2,2.1,6611,1,2376,68.0,167.0,64.0,0.46,Neutral
6.3,1,2.3,4466,3,2965,107.8,157.3,54.1,0.61,Neutral
6.0,1,1.8,6754,0,3122,54.9,188.8,76.8,0.54,Neutral
6.8,1,2.4,5894,0,2867,72.9,331.2,65.2,0.64,Neutral
6.3,1,1.7,6807,0,2105,70.9,157.8,118.7,0.5,Neutral
6.4,0,2.3,6338,0,2431,117.6,228.6,42.5,0.58,Neutral
6.1,1,2.0,4973,1,2875,73.3,178.1,102.8,0.51,Neutral
6.7,1,2.4,5817,1,2189,77.4,270.9,109.9,0.55,Neutral
6.0,2,1.8,7151,1,2220,119.7,264.8,97.1,0.66,Neutral
6.3,2,1.5,7818,0,2482,91.4,161.5,81.6,0.41,Neutral
6.5,2,1.8,6365,1,2457,62.1,221.6,82.6,0.63,Neutral
6.7,1,2.2,5116,0,1831,145.4,289.9,48.2,0.44,Neutral
6.3,2,2.0,5110,2,2975,66.9,167.8,89.1,0.44,Neutral
6.0,2,1.9,4532,0,2016,82.2,171.5,71.4,0.41,Neutral
6.6,2,2.4,6578,3,3062,79.1,233.1,55.9,0.65,Neutral
6.6,1,2.3,4321,1,1990,129.4,379.9,77.5,0.69,Neutral
6.2,1,2.2,6909,1,2258,55.8,373.9,60.6,0.63,Neutral
6.0,1,1.7,7757,3,2798,43.3,268.8,68.1,0.6,Neutral
6.2,2,1.7,7145,1,2840,51.3,354.4,103.7,0.5,Neutral
6.0,1,2.1,7245,3,3009,85.5,305.2,83.8,0.49,Neutral
7.0,2,1.9,5395,3,2691,102.4,235.6,95.5,0.46,Neutral
5.8,2,2.2,7028,3,2034,105.1,265.7,84.4,0.68,Neutral
6.7,2,1.7,7915,0,3021,124.8,244.7,79.5,0.52,Neutral
6.5,2,1.6,7346,0,2100,112.7,263.2,63.3,0.44,Neutral
6.4,1,1.9,4842,2,2967,127.4,319.9,113.5,0.6,Neutral
6.9,0,2.2,7748,0,3052,148.5,251.0,50.2,0.5,Neutral
5.9,0,1.9,6248,2,2024,134.7,366.4,58.8,0.69,Neutral
6.6,1,1.9,5303,3,2691,100.0,315.6,78.0,0.61,Neutral
5.8,1,1.9,7786,1,2390,149.7,317.5,50.7,0.51,Neutral
5.6,2,1.5,6954,3,2078,49.3,310.6,73.3,0.67,Neutral
6.2,2,2.3,6475,1,2730,96.0,288.0,76.0,0.68,Neutral
6.0,1,1.7,6476,1,2827,69.6,381.6,86.1,0.4,Neutral
5.6,0,1.5,5979,3,1963,55.6,332.8,118.7,0.61,Neutral
7.0,2,2.3,5904,0,2302,92.0,335.4,116.8,0.56,Neutral
5.6,2,2.1,7269,0,2503,98.9,152.7,76.3,0.57,Neutral
6.9,1,2.1,5357,2,2143,43.9,380.7,100.0,0.53,Neutral
6.6,2,2.1,4251,1,2973,45.7,397.6,104.7,0.59,Neutral
4.2,0,0.8,1337,2,2316,54.6,220.2,108.6,0.05,Sad
3.0,2,0.6,1715,1,3149,89.1,352.0,60.9,0.36,Sad
4.4,1,1.0,3160,0,2097,105.5,355.4,107.0,0.34,Sad
4.5,1,0.9,2569,1,2231,103.6,360.5,44.3,0.1,Sad
3.5,1,1.3,1215,3,2417,92.4,387.1,113.8,0.07,Sad
3.5,0,1.2,2597,3,1824,71.8,349.3,70.6,0.19,Sad
3.6,2,1.0,1168,2,2684,107.2,313.0,61.8,0.04,Sad
3.5,1,1.3,2045,3,3182,122.4,333.6,87.1,0.26,Sad
3.4,1,0.8,3827,0,3177,40.9,167.0,72.9,0.4,Sad
4.1,1,1.2,2439,2,2195,43.7,304.8,44.6,0.09,Sad
4.2,2,1.4,1888,0,2045,49.5,301.2,70.1,0.38,Sad
4.5,2,1.1,1756,1,2318,72.4,315.1,46.1,0.36,Sad
3.9,2,1.5,2748,2,2327,57.8,168.5,102.2,0.28,Sad
3.8,1,0.8,1246,1,2702,47.6,394.9,56.1,0.1,Sad
3.8,1,1.1,1444,1,3057,110.8,378.2,97.2,0.06,Sad
3.2,1,0.6,3340,0,2819,56.4,310.1,114.6,0.29,Sad
4.3,1,0.8,3867,0,2855,117.8,342.7,78.3,0.13,Sad
3.8,0,1.2,1287,3,2787,53.3,283.8,119.3,0.22,Sad
3.7,2,0.8,1226,0,2548,98.8,390.2,46.4,0.25,Sad
3.9,2,1.3,3653,0,2586,112.7,224.7,71.2,0.08,Sad
3.2,2,1.2,2992,3,2188,55.4,198.3,97.6,0.03,Sad
4.2,2,1.0,1258,2,2823,98.7,358.6,75.9,0.32,Sad
5.0,2,0.5,1229,0,2630,53.0,351.8,93.4,0.14,Sad
3.9,2,1.2,3197,1,1947,44.1,185.4,92.3,0.06,Sad
3.9,2,1.4,1187,1,1829,58.9,162.5,64.6,0.1,Sad
4.6,0,1.0,1699,0,2033,94.7,349.8,57.6,0.33,Sad
4.6,0,0.9,3778,1,2458,132.0,348.3,101.1,0.16,Sad
4.2,1,0.8,1494,1,2557,100.9,259.7,114.1,0.11,Sad
3.1,0,0.6,3589,0,2797,48.9,151.8,114.1,0.24,Sad
4.4,1,1.1,2162,1,2222,55.7,217.7,76.0,0.17,Sad
3.5,0,0.7,3833,3,3053,144.5,306.8,102.6,0.02,Sad
3.7,2,0.5,1965,0,3067,79.8,340.3,83.2,0.08,Sad
3.4,0,1.3,3700,1,2030,127.6,321.3,117.5,0.08,Sad
3.9,0,0.7,3744,2,2383,63.1,212.8,89.3,0.37,Sad
4.8,2,1.0,1427,1,2123,126.4,271.3,49.3,0.3,Sad
4.8,1,1.2,3427,1,3186,138.8,207.5,48.8,0.23,Sad
3.5,1,0.7,2689,1,1950,91.8,271.1,111.2,0.35,Sad
3.3,1,1.4,2863,1,2737,119.2,308.0,118.0,0.07,Sad
3.4,1,0.6,3835,1,2027,133.7,264.6,53.7,0.23,Sad
3.7,2,1.4,3472,1,2983,146.7,363.8,46.9,0.06,Sad
4.7,1,1.0,1886,2,1829,120.3,334.0,59.7,0.24,Sad
3.7,2,1.1,3423,0,2655,147.8,160.0,77.7,0.38,Sad
4.5,2,0.5,3175,0,2726,94.5,170.8,100.2,0.16,Sad
4.4,1,0.9,1892,1,3126,149.9,154.0,93.5,0.05,Sad
3.3,0,1.0,3336,3,2749,124.9,368.5,72.4,0.3,Sad
4.6,0,0.9,2901,0,2588,138.3,233.2,42.6,0.28,Sad
3.9,0,0.8,3508,0,3070,136.9,333.9,44.4,0.22,Sad
4.9,1,1.2,1211,3,3067,44.5,241.6,91.9,0.04,Sad
4.4,1,1.1,1838,1,2905,52.5,269.6,115.1,0.06,Sad
4.2,0,1.5,1859,2,2522,138.8,275.9,73.8,0.3,Sad
3.1,2,0.9,2853,0,2762,118.1,319.6,82.6,0.19,Sad
3.6,0,1.1,3757,1,2737,49.6,247.7,54.3,0.38,Sad
4.9,2,0.6,1674,1,2816,56.6,201.1,116.2,0.11,Sad
3.0,0,0.9,3795,3,2510,86.2,334.4,41.7,0.22,Sad
3.4,2,0.5,1951,2,2643,103.7,313.9,102.9,0.33,Sad
4.0,1,1.2,3171,3,2422,102.4,374.6,64.5,0.34,Sad
4.6,0,0.7,2523,1,2523,71.3,389.1,89.5,0.39,Sad
3.3,2,1.0,1746,1,2130,66.2,160.3,65.3,0.39,Sad
3.3,2,0.8,1755,0,3163,74.9,236.0,69.8,0.08,Sad
4.1,0,0.7,2235,3,2822,124.5,386.9,114.2,0.05,Sad
3.3,1,1.5,3237,2,2770,138.6,392.4,100.3,0.39,Sad
5.0,1,1.2,3315,2,2030,120.5,375.0,51.2,0.29,Sad
4.1,0,0.8,2645,3,2531,50.2,163.8,91.3,0.25,Sad
4.2,0,0.7,2138,3,3186,113.9,171.8,80.9,0.08,Sad
3.4,0,0.8,3478,2,2614,56.3,363.5,69.6,0.2,Sad
3.7,1,0.8,2439,0,2241,120.1,261.1,119.4,0.12,Sad
4.6,1,0.8,3981,3,2085,131.9,299.5,51.5,0.39,Sad
3.6,0,1.5,3151,3,1981,40.7,309.7,61.9,0.39,Sad
3.3,0,1.0,3326,1,2180,131.6,222.4,79.2,0.3,Sad
4.6,2,0.8,3397,3,2259,43.0,150.6,61.0,0.12,Sad
4.9,2,1.3,2935,2,2654,59.7,376.7,91.6,0.05,Sad
3.1,0,1.3,3019,2,2990,92.9,259.0,60.6,0.4,Sad
4.4,2,1.5,1489,0,2331,57.9,164.6,65.6,0.15,Sad
4.8,1,0.6,1668,3,3103,140.3,239.0,63.2,0.02,Sad
4.1,2,1.4,3104,1,1993,105.9,191.8,65.8,0.08,Sad
3.6,2,1.3,2233,2,1996,98.8,237.9,51.5,0.11,Sad
3.3,0,0.8,2986,0,2246,57.0,205.3,55.1,0.16,Sad
4.8,2,1.1,3153,0,2654,90.7,169.1,105.5,0.34,Sad
4.8,0,1.0,2276,3,3023,97.5,392.5,53.8,0.28,Sad
3.6,2,1.2,1485,1,2264,73.8,202.5,118.5,0.09,Sad
3.8,1,1.3,1457,3,1887,61.6,158.2,92.8,0.03,Sad
4.2,1,1.0,2036,0,1997,126.1,380.0,56.4,0.02,Sad
4.8,0,0.7,2439,2,2987,78.3,190.1,80.1,0.01,Sad
4.5,2,0.7,3335,0,2883,63.9,197.9,62.5,0.03,Sad
4.8,0,1.0,3971,3,2550,116.8,196.3,93.9,0.04,Sad
3.2,2,1.3,2554,1,2634,52.4,396.2,49.9,0.17,Sad
3.2,2,0.6,2479,0,1968,76.1,178.9,62.7,0.28,Sad
4.2,1,0.8,2818,2,2676,60.8,167.4,107.3,0.09,Sad
4.0,2,1.2,1734,3,3176,51.6,259.5,92.7,0.01,Sad
3.2,0,0.6,2640,1,1932,80.0,199.8,56.0,0.28,Sad
4.7,2,0.9,1953,3,2370,124.1,341.5,87.5,0.34,Sad
4.5,2,1.3,2639,3,2792,96.3,186.8,76.4,0.14,Sad
3.2,0,1.0,1945,0,2003,121.2,357.6,79.9,0.25,Sad
3.1,0,0.7,3476,2,3073,108.6,340.0,92.9,0.27,Sad
4.0,2,1.0,2908,3,2804,95.5,285.6,104.8,0.08,Sad
4.1,0,0.5,1129,3,2721,74.6,244.1,76.8,0.4,Sad
3.1,0,1.1,2241,3,2682,54.8,328.9,79.0,0.35,Sad
3.2,2,1.2,3703,3,2774,101.8,189.1,44.5,0.22,Sad
3.5,1,1.1,2547,2,2456,46.8,297.6,50.3,0.25,Sad
3.7,2,1.3,3391,2,2579,50.7,236.3,68.6,0.01,Sad
3.7,1,1.2,2014,0,1934,135.6,178.6,53.6,0.09,Sad
4.1,2,0.5,3694,3,2346,42.2,267.4,41.8,0.35,Sad
3.6,1,1.1,2320,0,3182,62.6,274.2,104.9,0.23,Sad
4.3,1,0.7,2226,1,2817,109.9,393.5,46.0,0.15,Sad
4.7,2,0.7,2086,3,2262,108.7,389.5,97.4,0.02,Sad
4.2,2,1.1,2119,3,2674,63.1,348.9,92.1,0.03,Sad
3.6,1,1.3,2773,1,2648,84.3,306.2,76.3,0.27,Sad
4.5,2,0.7,1076,1,2981,94.9,315.2,105.9,0.25,Sad
4.9,2,0.8,3612,3,2959,119.9,165.0,56.1,0.21,Sad
3.9,1,0.7,3807,3,2452,134.6,377.8,90.7,0.31,Sad
4.7,1,0.8,2175,1,2631,66.2,187.5,42.2,0.26,Sad
4.6,1,0.8,2988,3,3124,139.6,200.5,61.8,0.22,Sad
3.1,0,1.3,2137,0,2795,126.0,163.8,111.7,0.26,Sad
3.6,1,0.8,1260,2,3175,112.3,172.6,115.5,0.36,Sad
4.4,2,0.6,1458,0,2868,113.1,295.1,102.0,0.23,Sad
4.1,0,1.0,1369,2,2474,131.6,334.3,104.5,0.1,Sad
